"group","att_n","n_responses","acceptance_rate","sd","difficulty_category","discrimination","discrimination_category"
"122","sg",22,0.0454545454545455,0.213200716355611,"Very Low",0.213200716355611,"Low"
"104","pl",22,0.136363636363636,0.351250086657104,"Very Low",0.351250086657104,"Medium"
"106","pl",19,0.157894736842105,0.374634324632678,"Very Low",0.374634324632678,"Medium"
"108","sg",18,0.166666666666667,0.383482494423685,"Very Low",0.383482494423685,"Medium"
"130","sg",22,0.181818181818182,0.394771016975861,"Very Low",0.394771016975861,"Medium"
"104","sg",16,0.1875,0.403112887414928,"Very Low",0.403112887414928,"Medium"
"106","sg",21,0.19047619047619,0.402373908081478,"Very Low",0.402373908081478,"Medium"
"102","sg",34,0.205882352941176,0.410425630121905,"Low",0.410425630121905,"Medium"
"118","sg",34,0.205882352941176,0.410425630121905,"Low",0.410425630121905,"Medium"
"116","sg",18,0.222222222222222,0.427792631946499,"Low",0.427792631946499,"Medium"
"119","pl",18,0.222222222222222,0.427792631946499,"Low",0.427792631946499,"Medium"
"138","sg",22,0.227272727272727,0.428932027228888,"Low",0.428932027228888,"Medium"
"109","sg",13,0.230769230769231,0.438529009653515,"Low",0.438529009653515,"Medium"
"126","pl",16,0.25,0.447213595499958,"Low",0.447213595499958,"Medium"
"139","sg",23,0.260869565217391,0.44897775854488,"Low",0.44897775854488,"Medium"
"111","sg",19,0.263157894736842,0.452413928358864,"Low",0.452413928358864,"High"
"128","sg",15,0.266666666666667,0.457737708217063,"Low",0.457737708217063,"High"
"113","sg",18,0.277777777777778,0.460888598962477,"Low",0.460888598962477,"High"
"127","pl",18,0.277777777777778,0.460888598962477,"Low",0.460888598962477,"High"
"129","sg",18,0.277777777777778,0.460888598962477,"Low",0.460888598962477,"High"
"114","sg",21,0.285714285714286,0.462910049886276,"Low",0.462910049886276,"High"
"107","sg",23,0.304347826086957,0.470471968896965,"Low",0.470471968896965,"High"
"133","sg",13,0.307692307692308,0.480384461415261,"Low",0.480384461415261,"High"
"112","sg",16,0.3125,0.478713553878169,"Low",0.478713553878169,"High"
"120","sg",16,0.3125,0.478713553878169,"Low",0.478713553878169,"High"
"119","sg",19,0.31578947368421,0.477566932940919,"Low",0.477566932940919,"High"
"124","sg",19,0.31578947368421,0.477566932940919,"Low",0.477566932940919,"High"
"120","pl",22,0.318181818181818,0.476731294622796,"Low",0.476731294622796,"High"
"121","sg",18,0.333333333333333,0.485071250072666,"Low",0.485071250072666,"High"
"114","pl",19,0.368421052631579,0.495594627783352,"Low",0.495594627783352,"High"
"140","sg",19,0.368421052631579,0.495594627783352,"Low",0.495594627783352,"High"
"110","pl",16,0.375,0.5,"Low",0.5,"High"
"136","pl",21,0.380952380952381,0.497613351528119,"Low",0.497613351528119,"High"
"116","pl",36,0.388888888888889,0.494413232473044,"Low",0.494413232473044,"High"
"122","pl",18,0.388888888888889,0.50163132570455,"Low",0.50163132570455,"High"
"130","pl",18,0.388888888888889,0.50163132570455,"Low",0.50163132570455,"High"
"134","sg",36,0.388888888888889,0.494413232473044,"Low",0.494413232473044,"High"
"135","pl",18,0.388888888888889,0.50163132570455,"Low",0.50163132570455,"High"
"137","sg",18,0.388888888888889,0.50163132570455,"Low",0.50163132570455,"High"
"137","pl",23,0.391304347826087,0.499010879347845,"Low",0.499010879347845,"High"
"140","pl",36,0.416666666666667,0.5,"Medium",0.5,"High"
"103","sg",19,0.421052631578947,0.507257273501788,"Medium",0.507257273501788,"High"
"127","sg",19,0.421052631578947,0.507257273501788,"Medium",0.507257273501788,"High"
"124","pl",35,0.428571428571429,0.502096445253434,"Medium",0.502096445253434,"High"
"123","sg",23,0.434782608695652,0.506869801869702,"Medium",0.506869801869702,"High"
"102","pl",16,0.4375,0.51234753829798,"Medium",0.51234753829798,"High"
"134","pl",16,0.4375,0.51234753829798,"Medium",0.51234753829798,"High"
"136","sg",16,0.4375,0.51234753829798,"Medium",0.51234753829798,"High"
"132","sg",18,0.444444444444444,0.511309992564914,"Medium",0.511309992564914,"High"
"112","pl",22,0.454545454545455,0.509647191437625,"Medium",0.509647191437625,"High"
"128","pl",22,0.454545454545455,0.509647191437625,"Medium",0.509647191437625,"High"
"101","sg",13,0.461538461538462,0.518874521662771,"Medium",0.518874521662771,"High"
"107","pl",13,0.461538461538462,0.518874521662771,"Medium",0.518874521662771,"High"
